,loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/batch_size,config/hidden_channel,config/hidden_layers,config/lr,config/lr_decay_rate,config/out_layers,config/weight_decay,logdir
0,0.2722308337688446,17.46054482460022,False,,,27,5f993_00000,244a2f63c7b7430b9e180cac35c57cd1,2022-11-17_17-09-26,1668676166,492.3450162410736,170449,gpu406,11.11.4.6,492.3450162410736,0,27,0.0031900405883789,132,384,2,0.028828714663892484,0.9168589120524234,2,0.00039864783577569043,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00000_0_batch_size=132,hidden_channel=384,hidden_layers=2,lr=0.0288,lr_decay_rate=0.9169,out_layers=2,weight_decay=0_2022-11-17_17-01-08"
1,0.0946034044027328,27.948221445083615,False,,,295,5f993_00001,f3c890330ecc43c08b31b270e977bac2,2022-11-17_18-53-50,1668682430,6750.986414432526,170492,gpu406,11.11.4.6,6750.986414432526,0,295,0.0032002925872802,93,211,4,0.00012520480038177173,0.8631571901305493,9,0.0004447728370348489,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00001_1_batch_size=93,hidden_channel=211,hidden_layers=4,lr=0.0001,lr_decay_rate=0.8632,out_layers=9,weight_decay=0._2022-11-17_17-01-13"
2,0.0886654332280159,32.43068838119507,False,,,127,5f993_00002,c540d084a06f48618546e6fc0a0756db,2022-11-17_18-13-00,1668679980,4295.390522003174,170570,gpu406,11.11.4.6,4295.390522003174,0,127,0.0035037994384765,104,243,8,0.0025556295980228333,0.9314573481745612,3,4.8868850368519565e-05,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00002_2_batch_size=104,hidden_channel=243,hidden_layers=8,lr=0.0026,lr_decay_rate=0.9315,out_layers=3,weight_decay=0_2022-11-17_17-01-19"
3,0.4618870913982391,22.439399003982544,True,,,20,5f993_00003,310c6507f67e48698efce4ab25a6b3c3,2022-11-17_17-08-55,1668676135,444.6862645149231,170966,gpu406,11.11.4.6,444.6862645149231,0,20,0.0035464763641357,108,134,5,0.047847741008562934,0.8208621271584697,1,8.951837089607335e-05,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00003_3_batch_size=108,hidden_channel=134,hidden_layers=5,lr=0.0478,lr_decay_rate=0.8209,out_layers=1,weight_decay=0_2022-11-17_17-01-25"
4,0.2681436836719513,30.801661491394043,True,,,20,5f993_00004,3a92d88dc5a544f6b3a02a3186ddaaae,2022-11-17_17-11-49,1668676309,612.8402225971222,171705,gpu406,11.11.4.6,612.8402225971222,0,20,0.0035352706909179,194,235,7,0.013754833363750392,0.9296621739820529,4,3.6935472759237903e-05,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00004_4_batch_size=194,hidden_channel=235,hidden_layers=7,lr=0.0138,lr_decay_rate=0.9297,out_layers=4,weight_decay=0_2022-11-17_17-01-30"
5,0.0928506851196289,19.14484143257141,False,,,303,5f993_00005,42a137bc0e6e41f8a182bec51fdc6df7,2022-11-17_19-26-24,1668684384,8682.413066625595,172107,gpu406,11.11.4.6,8682.413066625595,0,303,0.0034620761871337,210,245,8,0.0002509741194910774,0.8070061579733954,2,0.00028640288627228744,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00005_5_batch_size=210,hidden_channel=245,hidden_layers=8,lr=0.0003,lr_decay_rate=0.8070,out_layers=2,weight_decay=0_2022-11-17_17-01-36"
6,0.2666167616844177,25.99088764190674,False,,,38,5f993_00006,56a696dd836c499bb03ac7529e94962c,2022-11-17_17-19-55,1668676795,1087.718424797058,172670,gpu406,11.11.4.6,1087.718424797058,0,38,0.0034446716308593,157,191,8,0.013559465530150154,0.8000401411792365,5,3.045320819467378e-05,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00006_6_batch_size=157,hidden_channel=191,hidden_layers=8,lr=0.0136,lr_decay_rate=0.8000,out_layers=5,weight_decay=0_2022-11-17_17-01-42"
7,52.76653289794922,17.470967531204224,True,,,10,5f993_00007,f134aa5308c24f43b0d41089e8fdfa36,2022-11-17_17-04-52,1668675892,178.0038502216339,173244,gpu406,11.11.4.6,178.0038502216339,0,10,0.0036277770996093,253,232,3,0.06960247336365942,0.9349283162264673,7,6.12898581080625e-05,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00007_7_batch_size=253,hidden_channel=232,hidden_layers=3,lr=0.0696,lr_decay_rate=0.9349,out_layers=7,weight_decay=0_2022-11-17_17-01-48"
8,0.1175544485449791,34.47743892669678,True,,,40,5f993_00008,f134aa5308c24f43b0d41089e8fdfa36,2022-11-17_17-28-09,1668677289,1397.5154614448547,173244,gpu406,11.11.4.6,1397.5154614448547,0,40,0.0036277770996093,119,311,9,0.004105173351255242,0.874315602004863,1,0.00037539235659455754,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00008_8_batch_size=119,hidden_channel=311,hidden_layers=9,lr=0.0041,lr_decay_rate=0.8743,out_layers=1,weight_decay=0_2022-11-17_17-04-52"
9,0.1047546193003654,24.304949283599854,False,,,78,5f993_00009,310c6507f67e48698efce4ab25a6b3c3,2022-11-17_17-40-14,1668678014,1879.049281835556,170966,gpu406,11.11.4.6,1879.049281835556,0,78,0.0035464763641357,95,268,5,0.00341627673379993,0.8487610330862001,1,0.0005065156232553085,"/public/home/hpc192311018/ray_results/tune/wrapper_5f993_00009_9_batch_size=95,hidden_channel=268,hidden_layers=5,lr=0.0034,lr_decay_rate=0.8488,out_layers=1,weight_decay=0._2022-11-17_17-08-55"
